,À partir de,Année de construction,Largeur de la façade à rue,Nombre de façades,Salon,Salle à manger,Chambres,Dressing,Salles de bains,Toilettes,Buanderie,Bureau,Espace professionnel,Grenier,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Permis de bâtir obtenu,Type de construction,Obligation de construire,Autorisation de lotissement,Prix,Immeuble de rapport,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Adresse,Surface habitable,Terrasse,Site internet,Parkings extérieurs,Type d’environnement,Type de cuisine,Raccordement à l'égout,Surface du jardin,Type de zone inondable,Référence externe,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,État du bâtiment,Surface du grenier,Jardin,Orientation du jardin,Attestation de conformité des citernes à mazout,Type de chauffage,Parkings intérieurs,Attestation as-built,Revenu cadastral,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Cave,Orientation de la terrasse,Niveau E (performance énergétique globale),Salles de douche,Largeur du terrain à rue,Surface de la terrasse,Visite virtuelle,Surface de la chambre 4,Surface de la chambre 5,Surface de la cave,Surface constructible totale au sol,Surface de bureau,Parlophone,Piscine,Accès sécurisé / alarme,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Interphone vidéo,Nom du bien,Quartier ou lieu-dit,Combien de feux ouverts ?,Surface de l'espace professionnel,Nombre d'annexes,Climatisation,Jacuzzi,Sauna,Internet,Disponible le,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Isolé
49,Après la signature de l’acte,,,3,,,4,,1,1,,,,Oui,,,316 m²,,,,,Oui,312 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,Oui,,Oui,Oui,,,Non,349.000 €,Non,Non,,"Fehrenbachstraat, 53
2440 - Geel",210 m²,Oui,4517326,,Urbain,Hyper équipée,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Excellent état,,,,,Gaz,1,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,Oui,,,Oui,,Non,Non,Non,"Rondplein 13/2
2400 - Mol",,,4390318,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,4,,,3,,1,2,,,,,Non,,791 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Oui,337.060 €,Non,Non,Non,"Voogdijstraat 12
2400 - Mol",,,2886 - 262,,,Équipée,,,Zone non inondable,,,,,Oui,Sud,,Gaz,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Paviljoenen,,,,,,,,,,,,,,
52,,,,4,,,2,,1,1,,,,,Non,,110 m²,,,,,,602 kWh/m²,F,20210819-0002451353-RES-1,Non communiqué,Non communiqué,,,,,,Oui,,,Non,165.000 €,Non,Non,Non,"Rondplein 13/2
2400 - Mol",140 m²,,4422474,,,,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Bon,,,,,Gaz,,,565 €,,,,,,,,,,,,,,,,,,,,,,,,,,Mol,,,,,,,,,,,,,
53,Après la signature de l’acte,1979,13.7 m,4,,Hyper équipée,11 m²,,2,54 m²,,,,,670 m²,,20 m,,,,,26 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,Oui,Non,,,Non,Non,"Rondplein 14/2
2400 - Mol",Non,395.000 €,4371663,27 m²,,,2,,18 m²,Oui,,,,,À rafraîchir,,,,,,1,,,Oui,4,8 m²,8 m²,9 m²,,,,,Connecté,Oui,195 m²,1,,Non,,,,,Non communiqué,,,,,,,,,,,,,,,,,,,
54,Selon le locataire,1997,,4,,,5,,1,,,,,,Non,,1200 m²,,,,,,244 kWh/m²,C,20130703-0001401585-00000007-9,Non communiqué,Non communiqué,,,,,,Oui,,,Non,595.000 €,Non,Non,Non,"Pas 96/A
2440 - Geel",350 m²,,4515308,1,,,,,Zone non inondable,,Parc résidentiel,Bon,,,,,,1,,2.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,Geel,,,,,,,,,,,,,
55,,2022,7.16 m,,,,3,Non,1,2,,Non,,,Non,,534 m²,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,Oui,,,Non,Oui,310.722 €,Non,,,"Industrieweg 41
3583 - Paal",153 m²,,,,Pays,Équipée,Connecté,,Zone non inondable,Mol_Lot_01 [2566883],,,,Oui,Sud,Non,Gaz,,,,,,,,,,,28,,12 m,,,,,,153 m²,,,,,,,,,,,,,,,,,,,,,,,
56,,,,3,,,3,,1,2,,,,,Non,,502 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Oui,276.923 €,Non,Non,Non,"Voogdijstraat 12
2400 - Mol",,,2894 - 262,,,Équipée,,,Zone non inondable,,,,,Oui,Sud,,Gaz,,Non,,,,,,,,,,,10 m,,,,,,,,,,,,,,,Paviljoenen,,,,,,,,,,,,,,
57,,,,3,,,3,,1,2,,,,,Non,,504 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Oui,288.777 €,Non,Non,Non,"Voogdijstraat 12
2400 - Mol",,,2889 - 262,,,Équipée,,,Zone non inondable,,,,,Oui,Sud,,Gaz,,Non,,,,,,,,,,,10 m,,,,,,,,,,,,,,,Paviljoenen,,,,,,,,,,,,,,
58,,,,3,,,3,,1,2,,,,,Non,,502 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Oui,293.017 €,Non,Non,Non,"Voogdijstraat 12
2400 - Mol",,,2893 - 262,,,Équipée,,,Zone non inondable,,,,,Oui,Sud,,Gaz,,Non,,,,,,,,,,,10 m,,,,,,,,,,,,,,,Paviljoenen,,,,,,,,,,,,,,
59,,,,3,,,3,,1,2,,,,,Non,,503 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Oui,304.438 €,Non,Non,Non,"Voogdijstraat 12
2400 - Mol",,,2892 - 262,,,Équipée,,,Zone non inondable,,,,,Oui,Sud,,Gaz,,Non,,,,,,,,,,,10 m,,,,,,,,,,,,,,,Paviljoenen,,,,,,,,,,,,,,
60,Après la signature de l’acte,,,4,,,4,Non,1,,,Non,,,Non,,325 m²,,,,,,142 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,,,,Oui,,,Non,,285.000 €,Non,,,"Herenthoutseweg 5
2200 - Herentals",200 m²,,WB-KAP155,,,Équipée,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",,54 m²,,,Non,Gaz,,,686 €,,,25 m²,12 m²,10 m²,,,,,,45 m²,,10 m²,,25 m²,,,,,,,,,,,,,,,,,,,,,,,,
61,Après la signature de l’acte,1972,17 m,4,,,18 m²,,Non,,,,,,1350 m²,,30 m,,,,,Oui,D,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,Oui,165 m²,,,Non,1.351 €,"Rondplein 14/2
2400 - Mol",Non,Parc résidentiel,4401170,40 m²,355 kWh/m²,,2,"Zone d'habitat (résidentiel, urbain ou rural)",16 m²,,,,,398.000 €,,,,,,,1,,Non,Équipée,4,16 m²,16 m²,12 m²,,,,,Oui,,165 m²,1,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
62,À définir,2001,23 m,4,,,4,Oui,1,1,Oui,Non,Non,,Oui,Non,900 m²,Non,Non,Non,Non,Oui,240 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,Non,Non,Non,Oui,,Toutes sortes,,,429.000 €,Non,,,,900 m²,,,6,,Équipée,,1 m²,,,,Excellent état,,,,,,1,,,45 m²,,32 m²,20 m²,16 m²,,,,,,1 m²,,14 m²,,,,,Non,Non,Non,Non,Non,Non,Non,,,1,50 m²,1,Non,Non,Non,Oui,,,,,,
63,À la livraison,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,Oui,,,Non,,Oui,Non,Non,"Markt 20
2440 - Geel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,1902,,4,,,4,,Oui,,,,,,,,,,,,,Oui,E,Non communiqué,Non communiqué,Non communiqué,Mazout,,,,,,,,,,Non,"Rondplein 14/2
2400 - Mol",,,4498183,9,Oui,,10,,,,,1.950.000 €,,,Bon,,,,,Zone inondable potentielle,1,,,,,,,,,,,,,,65000 m²,,,,,,,,430 kWh/m²,,,,,,Mol,,,,,,,,,,,,,
65,Immédiatement,1961,,4,,,3,,1,,,,,Oui,,,1215 m²,,,,,Non,1025 kWh/m²,F,20210612-0002427668-RES-1,Non communiqué,Non communiqué,,,,,,,,,,229.000 €,Non,,,"Kiezelweg, 133
2400 - Mol",,Oui,4395680,1,Isolé,,,,,,,,,,,,Mazout,1,,,36 m²,15 m²,16 m²,12 m²,7 m²,Oui,,,,24.3 m,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,,,
66,,2022,7 m,,,Oui,3,Oui,1,2,,Non,,,Non,,349 m²,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,Oui,,Toutes sortes,Non,Oui,296.849 €,Non,Non,,"Industrieweg 41
3583 - Paal",154 m²,,,,Pays,Équipée,Connecté,349 m²,Zone non inondable,Mol_Muyser [2566626],"Zone d'habitat (résidentiel, urbain ou rural)",,,,Sud,Non,Gaz,,,,,12 m²,13 m²,11 m²,11 m²,,,28,,11 m,,,,,,154 m²,,,,,,,,,,,,,,,,,,,,,,,
67,,1997,,4,,,2,,1,2,,Non,,,Non,Non,906 m²,,,,,Non,266 kWh/m²,C,0002398413-RES-1,Non communiqué,Non communiqué,,,,,Non,Oui,,,,310.000 €,Non,Non,Non,"Moenstraat 39
2450 - Meerhout",,,2021TK038,,,Équipée,Non connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,Nord-est,,,1,,840 €,24 m²,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,2021,6.3 m,,Oui,Oui,3,Non,1,2,,Non,,,,,292 m²,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,Oui,,Non,Oui,262.000 €,Non,,,"Werchtersesteenweg 126
3150 - Haacht",150 m²,,,,Pays,,Non connecté,,Zone non inondable,mol toemaat rw 3,"Zone d'habitat (résidentiel, urbain ou rural)",Excellent état,,Oui,Sud,,,1,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,2021,6.3 m,,Oui,Oui,3,Non,1,2,,Non,,,,,292 m²,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,Oui,,Non,Oui,276.500 €,Non,,,"Werchtersesteenweg 126
3150 - Haacht",155 m²,,,,Pays,,Non connecté,,Zone non inondable,mol toemaat hob,"Zone d'habitat (résidentiel, urbain ou rural)",Excellent état,,Oui,Sud,,,1,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,2022,6 m,,,,3,Non,1,2,,Non,,,Non,,308 m²,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,Oui,,,Non,Oui,289.047 €,Non,,,"Industrieweg 41
3583 - Paal",172 m²,,,,Pays,Équipée,Connecté,,Zone non inondable,Mol_Lot_15 [2566881],,,,Oui,Sud-est,Non,Gaz,,,,,,,,,,,28,,11 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,2022,7.7 m,,,,3,Non,1,2,,Non,,,Non,,424 m²,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,Oui,,Toutes sortes,Non,Oui,315.899 €,Non,,,"Industrieweg 41
3583 - Paal",128 m²,,,,Pays,Équipée,Connecté,,Zone non inondable,Mol_Muyser [2566625],,,,Oui,Ouest,Non,Gaz,,,,,,,,,,,28,,15.17 m,,,,,,128 m²,,,,,,,,,,,,,,,,,,,,,,,
72,,2022,8.4 m,,,,3,Oui,,,,Non,,,Non,,452 m²,Non,Non,Non,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,,Toutes sortes,Non,Oui,378.783 €,Non,Non,,"Industrieweg 41
3583 - Paal",,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Équipée,Non connecté,,Zone non inondable,Mol_Muysert_Lot_1a,"Zone d'habitat (résidentiel, urbain ou rural)",,66 m²,Oui,Sud,,Gaz,,,,40 m²,12 m²,14 m²,12 m²,12 m²,,,30,,13.88 m,,,,,,241 m²,,,,,,,,,,,,,,,,,,,,,,,
73,,,,4,,,5,,2,2,,Oui,,Oui,Non,,1503 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Oui,399.000 €,Non,Non,Non,"Pas 96/A
2440 - Geel",260 m²,,4236570,1,,,,,Zone d'inondation reconnue,,Zone de parc,Excellent état,,,,,,2,,,,,22 m²,14 m²,14 m²,,,,2,,,,14 m²,29 m²,,,,,,,,,,,,,,,,,,,,,,,,,
74,Après la signature de l’acte,,,2,,,2,,1,,,,,,,,155 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,149.000 €,Oui,,,"Corbiestraat 42
2400 - Mol",164 m²,,4447289,,,,,,,,,À rénover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,1970,,4,Oui,,7,,,,,Non,,,Non,Non,7212 m²,,,,,Non,Non communiqué,Non communiqué,2314570,Non communiqué,Non communiqué,,,,,Non,Oui,,,Non,385.000 €,Non,Non,Non,"Aarschotsesteenweg 201
2500 - Lier",,,,,,,Non connecté,,Zone non inondable,IF-3069,Zone agricole,À rénover,,Oui,Est,,,1,,1.690 €,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,1986,,4,,,1,,3,648 m²,,,,,,,Oui,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,479.000 €,,,,,,,,,,1.665 €,"Rondplein 14/2
2400 - Mol",,,4499129,4,Non communiqué,,2,,,,,,,,,,,,,,1,,Non,,,,,,,,,,,,280 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Après la signature de l’acte,,,,,,4,Non,,,,Non,,,Non,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,Non,,,Non,Non,249.000 €,Non,Non,Non,"Herenthoutseweg 5
2200 - Herentals",,,GI54MO,,,,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Après la signature de l’acte,,,,,,4,Non,,,,Non,,,Non,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,Non,,,Non,Non,249.000 €,Non,Non,Non,"Herenthoutseweg 5
2200 - Herentals",,,GI56MO,,,,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Après la signature de l’acte,,,,,,4,Non,,,,Non,,,Non,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,Oui,Oui,,Non,Non,285.000 €,Non,Non,Non,"Herenthoutseweg 5
2200 - Herentals",,,RO164MO,,,,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,Non,,,Non,Non,498.000 €,Oui,Non,Non,"Herenthoutseweg 5
2200 - Herentals",,,GI5456MO,,,,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Après la signature de l’acte,,,,,,3,Non,,,,Non,,,Non,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,Non,,,Non,Non,169.000 €,Non,Non,Non,"Herenthoutseweg 5
2200 - Herentals",,,RO166MO,,,,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,À la livraison,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,Oui,,,Oui,,Oui,,Non,"Markt 20
2440 - Geel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31 août 2022 - 00:00,,,,,
83,À la livraison,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,Oui,,,Oui,,Oui,,Non,"Markt 20
2440 - Geel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31 août 2022 - 00:00,,,,,
84,À définir,,,,,,3,Non,,1,,,,Oui,Non,,,,,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,,,,15.000 €,Non,,,"Venlosesteenweg 56
3640 - Kinrooi",95 m²,,,,,Équipée,Connecté,,,,,Bon,,,,,Mazout,,,,28 m²,12 m²,13 m²,13 m²,9 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1969,3,,91 m²,,,276 m²,,527 kWh/m²,,,,,,,,F,,,,,,20200729-0002297007-RES-1,Non communiqué,Non communiqué,Oui,Zone non inondable,,,,,,110.000 €,,,,,Peggy GOOSSENS,,,,1,,,,,,,,352 €,,,,,,,,,,,"Wijngaardstraat, 40
2280 - GROBBENDONK",,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
vrijdag 10/9 en donderdag 16/9 telkens tussen 10u-12u",Après la signature de l’acte,Non,
86,,,,3,,,3,Non,1,2,,Non,Non,,Non,Non,361 m²,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,Non communiqué,169 kg CO₂/m²,Non communiqué,Non,Non,Non,Non,Oui,,Toutes sortes,,,345.000 €,Non,,,,,,,,,,,,,,,Excellent état,,,,,Gaz,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,4,,,3,Non,,2,,Non,Non,,Non,Non,800 m²,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,Non communiqué,185 kg CO₂/m²,Non communiqué,Non,Non,Non,Non,Oui,,Toutes sortes,,,349.500 €,Non,,,,220 m²,,,,Aménagé,,,,,,,Excellent état,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1956,Oui,,,3,1,Oui,,3205 m²,,,,,Oui,,,492 kWh/m²,,,,,,20120801-0001177503-00000002-7,Non communiqué,Non communiqué,Mazout,Non,Oui,,,,Zone non inondable,,,,,,Jan MICHIELS,220.000 €,,,,E,,,,,,,588 €,,,,,,,,Oui,,,"Koning Leopoldlaan 59
2260 - WESTERLO",,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
zaterdag van 14u-16u",Après la signature de l’acte,Non,
89,À définir,2022,7 m,3,,,3,Non,1,,,Non,Non,,Non,Non,625 m²,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Non,Non,Oui,,,,Oui,335.000 €,Non,Non,Non,,225 m²,,,,,,Connecté,1 m²,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Ouest,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,Non,Non,,,,Non,,,,,,Non,Non,Non,Non connecté,540 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,,,,Non,,,Non,,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",Zone non inondable,,SV 2787,,,,,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,269.000 €,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,À définir,1950,,3,,,3,,1,2,,,,,Non,,740 m²,,,,,Oui,394 kWh/m²,D,20211005-0002472794-RES-1,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Non,349.000 €,Non,Non,Non,"Markt 20
2440 - Geel",,,40760 - GEE-21-DHO-0,3,,Équipée,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Fraîchement rénové,,Oui,Sud-est,,Gaz,,Non,604 €,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 avril 2022 - 00:00,,,,,
92,Après la signature de l’acte,1975,,2,,,3,,1,2,,,,,Non,,192 m²,,,,,Oui,275 kWh/m²,C,20211005-0002472909,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Non,260.000 €,Non,Non,Non,"Markt 20
2440 - Geel",,,39774 - GEE-21-SLA-0,,,Semi-équipée,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Bon,,,,,Gaz,1,Non,490 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,1953,,4,,,3,,1,,,,,,,,356 m²,,,,,,1018 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,,,,Oui,,,Oui,165.000 €,Non,Non,Non,"Kerkplein 1
2260 - Westerlo",,Oui,4529118,2,Urbain,,,,Zone non inondable,,,À rénover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Après la signature de l’acte,2017,,3,,,4,,1,2,,,,,Non,,632 m²,,,,,,13 kWh/m²,A,13053-G-2016_1167/EP12782/A001/D02/SD001,Non communiqué,Non communiqué,,,,,Oui,Oui,,,,325.000 €,Non,Non,,"Hasseltsesteenweg 17
3540 - Herk-de-Stad",110 m²,,,,,Équipée,,,Zone non inondable,243 - 1474,"Zone d'habitat (résidentiel, urbain ou rural)",Bon,,Oui,Sud-ouest,,Gaz,,Non,668 €,35 m²,10 m²,13 m²,13 m²,10 m²,Oui,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,1950,28 m,4,,,5,,1,2,,,,,Non,,2309 m²,,,,,Oui,291 kWh/m²,C,20190919-0002197243-RES-1,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Non,350.000 €,Non,Non,,"Halhei 28
3550 - Heusden-Zolder",205 m²,,,,,Semi-équipée,,2309 m²,Zone non inondable,1537 - 2314,"Zone d'habitat (résidentiel, urbain ou rural)",Bon,,,Sud,,Mazout,4,Non,733 €,,,,,,,,,1,,,,,,,,,,,,,,,,"LAAKDAL, OUDE VEERLEBAAN 10A",,,,,,,,,,,,,,
96,À la livraison,2019,4 m,3,,,1,,Non,,,,,,Non,213 m²,7 m,,,,,18 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,"Oui, conforme",Oui,Oui,Non,Non,Oui,Non,,,Non,Non,"Stationstraat 125
2440 - Geel",Non,Zone non inondable,,3,,,,,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",,289.900 €,Bon,,,,Gaz,Non,,,,,,,,,,,,,Connecté,Non communiqué,128 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Après la signature de l’acte,,10 m,3,,,3,,1,1,,,,,Non,,305 m²,Oui,,,Oui,Oui,428 kWh/m²,E,2021105-0002472625-RES-1,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Non,227.000 €,,Non,Non,"Hulst 12
2230 - Hesselt",148 m²,,Astrid Huyskens,1,"Zone d'habitat (résidentiel, urbain ou rural)",,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",À rafraîchir,46 m²,Oui,Sud,,Gaz,1,Non,255 €,,,16 m²,14 m²,8 m²,,Sud,,,10 m,,,,,10 m²,,,,,,,,,,,,,,1,,,,,,,,,,
98,À définir,1953,,4,,,3,,1,1,,,,,Non,,700 m²,,,,,Non,764 kWh/m²,F,20160404-0001845339-1,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Non,225.000 €,Non,Oui,Non,"Pas 96/A
2440 - Geel",132 m²,Oui,4295437,3,Urbain,Équipée,Connecté,,Zone non inondable,,Zone agricole,Fraîchement rénové,,,,,Mazout,1,,556 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,À définir,1952,,4,,,3,,1,2,,,,,Non,,864 m²,,,,,Oui,382 kWh/m²,D,20210907-0002460733-RES-1,Non communiqué,Non communiqué,,,Oui,,Oui,Oui,,,Non,299.000 €,Non,Non,Non,"Pas 96/A
2440 - Geel",146 m²,Oui,4444883,2,Urbain,Hyper équipée,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Fraîchement rénové,,,,,Gaz,,,451 €,,,,,,Oui,,,,22 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Après la signature de l’acte,1967,,4,,,1,,Oui,,,,,,Non,717 m²,Connecté,,,,,Non communiqué,Non communiqué,20210217-0002374991-RES-1,Non communiqué,Non communiqué,Gaz,Non,Non,Non,Oui,Oui,Non,,,Non,832 €,"Stationstraat 125
2440 - Geel",Non,Zone non inondable,,5,,,,,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",,269.000 €,À rénover,,,,,Non,,,Non,,,,,,Non,,,,,,207 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,À la livraison,2021,7.8 m,3,,,3,Non,1,2,,Non,,,Non,,475 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,Oui,Oui,,Non,Oui,345.000 €,Non,Non,Non,"Zandhoef 4
2460 - Kasterlee",175 m²,,Laakdal_Boerebeemden,,,Hyper équipée,,375 m²,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Excellent état,,,Sud-ouest,Non,Gaz,1,,,51 m²,13 m²,19 m²,12 m²,13 m²,,,19,1,11 m,22 m²,,,,,185 m²,,,,,,,,,,,,,,,,,,,,,,,
102,À la livraison,2019,,2,,,Non,,,,,,,,Non,235 m²,Non connecté,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,"Oui, conforme",Oui,Oui,Non,Non,Oui,Non,,,Non,Non,"Stationstraat 125
2440 - Geel",Non,Zone non inondable,,3,,,,,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",,299.900 €,Bon,,,,Gaz,Non,,,,,,,,,,,,,,,150 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
