,Année de construction,État du bâtiment,Nombre de façades,Parkings extérieurs,Visite virtuelle,Surface habitable,Surface du salon,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Grenier,Meublé,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface de la terrasse,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Type de zone inondable,Prix,Revenu cadastral,Immeuble de rapport,Adresse,À partir de,Disponible le,Quartier ou lieu-dit,Site internet,Salle à manger,Salles de douche,Cave,Attestation as-built,Type de chauffage,Largeur de la façade à rue,Type d’environnement,Salon,Type de cuisine,Surface de la chambre 4,Dressing,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Orientation du jardin,Orientation de la terrasse,Concierge,Ascenseur,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Permis de bâtir obtenu,Type de construction,Obligation de construire,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Parkings intérieurs,Surface de la chambre 5,Buanderie,Surface de bureau,Surface de l'espace professionnel,Jardin,Terrasse,Charges mensuelles,Revenu mensuel actuel,Référence externe,Attestation de conformité des citernes à mazout,Surface de la cave,Description libre du PEB,Combien de feux ouverts ?,Isolé,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Surface constructible totale au sol,Surface du grenier,Nombre d'annexes,Nom de l'agent,Niveau E (performance énergétique globale),Lieu de la vente,Séance unique,Modalités de visite,Mise à prix
114,,À rafraîchir,3,2,160 m²,Oui,,,16 m²,12 m²,12 m²,1,1,Non,,365 m²,265 m²,,,,,,,,D,Non communiqué,Non communiqué,Non communiqué,Gaz,,,Non,,"Rue du Virginal 83
7090 - Hennuyères",4341643,Après la signature de l’acte,,,,,2,,,Faire offre à partir de 280.000 €,,,Équipée,3,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,1,,,,,,269 kWh/m²,,,,,,,,,,,,,,,,,,
115,1988,Bon,4,,,200 m²,,,3,,,,1,2,,Non,741 m²,,,,,,,,352 kWh/m²,E,20190910008489,Non communiqué,Non communiqué,Oui,,399.000 €,1.302 €,Non,"Avenue Wiston Churchill 192
1180 - Uccle",,,,4353 - 87459861,,,,Non,Mazout,,,,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1920,Bon,4,5,,400 m²,,,4,,,,2,2,,Non,11093 m²,,,,,,,,480 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Oui,,590.000 €,664 €,Non,"Rue De Mons 46
1480 - Tubize",,,,2867 - 2339,,,Oui,Non,Mazout,,,,Semi-équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,2,,,,,,,,,,,
117,,À rénover,4,5,,315 m²,50 m²,18 m²,4,13 m²,13 m²,13 m²,3,2,Oui,,2522 m²,,,,,,Oui,,636 kWh/m²,G,20200925014687,158 kg CO₂/m²,Non communiqué,Oui,,945.000 €,,,"Rue de Saintes 11/3
1400 - Nivelles",Après la signature de l’acte,,,,Oui,,Oui,,Mazout,,,,Équipée,22 m²,,Oui,Oui,,,,,,,Sud-ouest,Sud-ouest,,,,,,,,,,,,,,,,,,,2,,Oui,17 m²,,Oui,Oui,,,,,,,2,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,
118,,Bon,,,110 m²,38 m²,Équipée,,1,,,,2,Oui,,288 m²,50 m²,,,,450 kWh/m²,,,,F,Non communiqué,Non communiqué,Non communiqué,Non,250.000 €,,329 €,Non,"Rue De Mons 46
1480 - Tubize",2851 - 2334,,,,,,,Non,Mazout,Oui,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
119,2021,,4,3,165 m²,Équipée,,,1,,,,1,Non,,730 m²,80 kWh/m²,,,,,,,,A,Non communiqué,Non communiqué,Non communiqué,Non,420.000 €,,Non,,"Rue De Mons 46
1480 - Tubize",2730 - 2308,,,,,,2,,Gaz,Oui,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,À rafraîchir,3,1,,150 m²,45 m²,15 m²,3,16 m²,14 m²,14 m²,1,1,,Non,1300 m²,,Connecté,Oui,35 m²,Oui,,,529 kWh/m²,G,20210723001666,Non communiqué,83314 kWh/an,Oui,Zone non inondable,300.000 €,,Non,"Rue du Virginal 83
7090 - Hennuyères",Après la signature de l’acte,,,4447970,,1,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
121,,,3,,,,,,,,,,,,,Non,627 m²,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,295.000 €,,Non,"Rue de Virginal 83
7090 - Hennuyeres",,,,,,,,Non,,,,,Équipée,,,,,,,,,,,,,,,,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,
122,,,,,Non communiqué,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,"Rue Fort d'Andoy 5
5100 - Wierde",3942747,À la livraison,,Brabant wallon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,Fraîchement rénové,4,10,,330 m²,,,5,,,,1,2,,Non,1979 m²,43 m,,Oui,,,,,411 kWh/m²,E,20210811008532,Non communiqué,98601 kWh/an,,,680.000 €,,,"Place des Celestines 19
5000 - Namur",À définir,,,,,1,,,Mazout,43 m,"Zone d'habitat (résidentiel, urbain ou rural)",,Hyper équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,1,,,,,4,Caudron,,,,,
124,1921,Fraîchement rénové,3,2,117 m²,30 m²,Oui,3,15 m²,10 m²,10 m²,2,2,50 m²,,520 m²,13.53 m,Connecté,Oui,17 m²,255 kWh/m²,,,,C,20210616017642,53 kg CO₂/m²,42739 kWh/an,Non,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",371 €,Non,"Place Communale 8
1160 - Auderghem",4403459,Après la signature de l’acte,,Brabant Wallon,,Semi-équipée,3,,Gaz,Oui,13 m,Urbain,,8 m²,,,,,,,,,,,,,,,,,,,,,,,,,103 m²,,,Non,Non,Zone non inondable,1,,,,,,,,,,,46 m²,,,,Faire offre à partir de 299.000 €,Non,Non,,,,,,,
125,1800,Excellent état,4,30,,1165 m²,47 m²,24 m²,6,111 m²,19 m²,16 m²,3,7,,Non,3788 m²,50.55 m,Connecté,Oui,200 m²,Oui,Oui,Non,671 kWh/m²,G,20120902011904,166 kg CO₂/m²,Non communiqué,Oui,Zone non inondable,1.950.000 €,2.969 €,Oui,"Clos des Chêneaux 18A
1390 - Grez-Doiceau",Après la signature de l’acte,7 juin 2021 - 00:00,,4532936,Oui,1,Oui,,Gaz,50.55 m,,,Hyper équipée,15 m²,,Oui,,,,,,,3788 m²,,,,Non,,,,,,,,,,,,,,,,,,14 m²,,96 m²,505 m²,,,,,,,,,,,,1166 m²,,,,,,,,
126,2012,Fraîchement rénové,,4,,409 m²,85 m²,,4,,,,1,3,,Non,1676 m²,,,,,,,,68 kWh/m²,A,Non communiqué,Non communiqué,27638 kWh/an,Oui,,875.000 €,3.080 €,Non,"Place des chasseurs Ardennais 24-26
1030 - Schaerbeek",Après la signature de l’acte,,,8139 - 654657888,,1,,Non,Gaz,,,,Américaine hyper-équipée,,,Oui,,,Non,,,,1523 m²,,,,,,,,,,,,,,,,,,,,,2,,,,,,Oui,,,,,,,,,,,,,,,,,,
127,1985,Excellent état,4,2,255 m²,50 m²,1,,1,,,,1,10 m²,,2800 m²,26 m,2300 m²,,,Oui,,Oui,279 kWh/m²,D,20190819002838,171 kg CO₂/m²,88051 kWh/an,Non,Faire offre à partir de 690.000 €,,1.761 €,Non,"Chaussée de Bruxelles 23 (sur N5)
1472 - Vieux Genappe",3738 - 650252,Après la signature de l’acte,,,,,2,Non,Mazout,Oui,18 m,,,4,,,Oui,,,,,,,Nord,30 m²,,,,,,,,,,,,,,,,,,,,5,,,Oui,,,,,,,,,,Hyper équipée,,,,,,,,,,,
128,1850,À rafraîchir,4,6,300 m²,48 m²,Oui,6,22 m²,13 m²,17 m²,15 m²,5,25 m²,Non,10000 m²,10000 m²,,,,,Non,,393 kWh/m²,E,20210909005995,98 kg CO₂/m²,126519 kWh/an,Mazout,,,1.730 €,Non,"Rue de Rixensart 77
1332 - Genval",4495481,Après la signature de l’acte,1 janvier 2022 - 00:00,,,Semi-équipée,,,,735.000 €,,,,23 m²,11 m²,,Oui,,,,,,,Oui,,,,Non,,,,,,,,,,,,,,,,,2,3,,Oui,,,Oui,,,,,,,,,,,,,,,,,,
129,,Bon,3,4,,329 m²,,26 m²,5,17 m²,21 m²,14 m²,3,3,,Non,526 m²,13.3 m,Connecté,Oui,,Non,Oui,Non,129 kWh/m²,B,20210419021190,259 kg CO₂/m²,33453 kWh/an,Oui,,Faire offre à partir de 525.000 €,1.284 €,Non,"Avenue du centenaire 53/4
1400 - Nivelles",Après la signature de l’acte,,,4395103,Oui,2,,,Gaz,15 m,,,Hyper équipée,15 m²,,Oui,,,,,,,,,,,Non,,,,,,,,,,,Oui,,,,Non,Non,,,,11 m²,,,Oui,,,,,,,,,,160 m²,13 m²,,,,,,,
130,2008,Bon,4,8,260 m²,83 m²,1,,21 m²,20 m²,17 m²,11 m²,3,19 m²,,1412 m²,Oui,,,Oui,Oui,,105 kWh/m²,,B,20140820023622,Non communiqué,Non communiqué,Non,645.000 €,,2.643 €,Non,"Avenue Zénobe Gramme 30 1er étage
1301 - Wavre",410 - 3391298,Après la signature de l’acte,,,,,,Non,Oui,,,,,4,2,,Oui,,,,,,,,30 m²,,,,,,,,,,,,,,,,,,,,2,,,Oui,,Nord-ouest,,,,,,,,Équipée,,,,,,,,,,,
131,,À rénover,3,4,,157 m²,35 m²,18 m²,3,26 m²,15 m²,11 m²,1,2,,Non,950 m²,,,Oui,,,,,372 kWh/m²,E,20201208014178,Non communiqué,Non communiqué,Oui,,325.000 €,725 €,Non,"Avenue Zénobe Gramme 30 1er étage
1301 - Wavre",Après la signature de l’acte,,,,,,Oui,Non,Mazout,,,,Équipée,,,Oui,,,,,,,,Nord,,,,,,,,,,,,,,,,,,,,1,,,8 m²,,Oui,Oui,,,284 - 3391268,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,"Rue de Champles 50
1301 - Bierges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toutes sortes,Non,,,,,,,,,,,,,P0117_H,,,,,,,,,,,,,,,
133,1976,Fraîchement rénové,4,4,,180 m²,39 m²,11 m²,4,27 m²,16 m²,15 m²,2,2,Oui,Non,652 m²,,Connecté,Non,,Oui,,Non,255 kWh/m²,C,20210408025437,64 kg CO₂/m²,48832 kWh/an,Oui,Zone non inondable,Faire offre à partir de 375.000 €,1.588 €,Non,"Avenue du centenaire 53/4
1400 - Nivelles",,,,4501409,,,,,Mazout,,,,Équipée,11 m²,,Oui,,,,,,,,,,,Non,,,,,,,,,,,,,,,Non,Non,,,,18 m²,,,Oui,,,,,,,,,,,,,,,,,,
134,2007,Excellent état,4,3,,200 m²,,,4,,,,3,3,,Non,725 m²,,Non connecté,Oui,,,,,145 kWh/m²,B,20170529012969,Non communiqué,34949 kWh/an,Oui,Zone non inondable,Faire offre à partir de 550.000 €,,Non,"rue de la Gendarmerie 1
1380 - Lasne",Après la signature de l’acte,,,4448091,,3,,,Gaz,,,,Équipée,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,Non,Non,Non,,,,,,,Oui,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,
135,2001,Excellent état,4,10,,360 m²,,,4,,,,4,5,Oui,Non,12500 m²,,,Non,,Non,,Oui,235 kWh/m²,C,20210628019966,Non communiqué,94654 kWh/an,Oui,,1.490.000 €,,Non,"rue de la Gendarmerie 1
1380 - Lasne",Après la signature de l’acte,,,4497810,,4,Oui,,Mazout,,,,Équipée,,,Oui,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,1,,,,,,Oui,,,,,,,,,,,,,,,,,,
136,,Bon,,,117 m²,43 m²,Équipée,2,20 m²,17 m²,Non,,,Oui,Non,330 m²,Connecté,,Oui,Oui,Nord-ouest,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,458 €,Non,"Chaussée de Bruxelles 2
1470 - Genappe",,À définir,,,,,1,Oui,,Non,,,,8 m²,,1,,,,,,,,,20 m²,Non communiqué,,,,,,,,,285.000 €,,,,,,,,,,,,,,,Nord-ouest,,,,,,,,,,,,,,,,,,,
137,,Bon,2,,,150 m²,33 m²,,3,,,,1,1,,Non,266 m²,,,,22 m²,,,,Non communiqué,E,Non communiqué,Non communiqué,Non communiqué,Oui,,Faire offre à partir de 265.000 €,396 €,Non,"Chaussée de Bruxelles 23 (sur N5)
1472 - Vieux Genappe",,,,3760 - 650185,,,Oui,Non,,,,,,,,Oui,,,,,,,145 m²,,,,,,,,,,,,,,,,,,,,,,,,12 m²,,,,,,,,,,,,,,,,,,,,,
138,1976,Bon,4,3,,171 m²,,,4,,,,2,,,,1500 m²,,,,,,Oui,,334 kWh/m²,D,20210920007489,Non communiqué,77263 kWh/an,Oui,,585.000 €,,Non,"rue de la Gendarmerie 1
1380 - Lasne",Après la signature de l’acte,,,4521296,,1,,,Mazout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
139,,À rafraîchir,,1,134 m²,41 m²,Semi-équipée,2,27 m²,24 m²,Non,,,Non,,812 m²,Connecté,,Oui,Oui,,,,,F,20210623014098,Non communiqué,Non communiqué,Électrique,365.000 €,,1.616 €,Non,"Chaussée de Bruxelles 2
1470 - Genappe",,À définir,,,,,,,,Non,,,,12 m²,,2,,,,,,,,,Oui,496 kWh/m²,,,,,,,,,Oui,,,,,,,,,,1,,,,,Nord-est,Nord-est,,,,,,,,,,,,,,,,,,
140,,Bon,,1,257 m²,62 m²,Équipée,5,16 m²,10 m²,12 m²,24 m²,,Oui,,5912 m²,Connecté,,Oui,Oui,Sud,,,,D,20210811017473,Non communiqué,Non communiqué,Mazout,595.000 €,,2.555 €,Non,"Chaussée de Bruxelles 2
1470 - Genappe",,À définir,,,,,,Non,,Non,,,,19 m²,18 m²,3,,,,,,,,,100 m²,302 kWh/m²,,,,,,,,,Oui,,,,,,,,,,1,Non,,,,Sud,,,,,,,,,,,,,,,,,,,
141,,Excellent état,,,,341 m²,26 m²,14 m²,6,32 m²,26 m²,24 m²,2,3,,Non,6180 m²,,Connecté,Non,,Non,Oui,Non,423 kWh/m²,E,20210621023336,106 kg CO₂/m²,7 kWh/an,Non,,1.500.000 €,,Non,"Drève Richelle, 118
1410 - Waterloo",À définir,,,5491375,Oui,,,Non,Mazout,,,,,21 m²,Non,Oui,,Non,Non,Non,Non,Non,,,,Non,Non,Non,,Non,,,,Non,Non,Non,Non,,,,Non,Non,Non,,14 m²,,,,,,,,,Non,,,1,,,747 m²,,,,,,,,
142,,Bon,,1,116 m²,39 m²,Équipée,3,16 m²,14 m²,8 m²,Non,,Oui,Non,577 m²,Connecté,,Oui,Oui,Nord-est,,,,G,20210524013187,Non communiqué,Non communiqué,Électrique,247.500 €,,Non,,"Chaussée de Bruxelles 2
1470 - Genappe",,À définir,,,,,,Oui,,Non,,,,9 m²,,1,,,,,,,,,18 m²,1732 kWh/m²,,,,,,,,,Oui,,,,,,,,,,1,,,,,Nord-est,,,,,,,,,,,,,,,,,,,
143,,Bon,,1,121 m²,27 m²,Équipée,4,23 m²,14 m²,12 m²,10 m²,,Non,,500 m²,Connecté,,Oui,Oui,Sud-ouest,,,,E,20210519026046,Non communiqué,Non communiqué,Mazout,375.000 €,,Non,,"Chaussée de Bruxelles 2
1470 - Genappe",,À définir,,,,,2,,,Non,,,,17 m²,Non,1,,,,,,,,,15 m²,386 kWh/m²,,,,,,,,,Oui,,,,,,,,,,1,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,
144,,Bon,,1,132 m²,30 m²,Équipée,3,19 m²,10 m²,9 m²,Non,,Non,,875 m²,Connecté,,Oui,24 m²,455 kWh/m²,,,,F,Non communiqué,Non communiqué,Non communiqué,Mazout,375.000 €,,Non,,"Chaussée de Bruxelles 2
1470 - Genappe",,À définir,,,,,,,,Non,,,,17 m²,,2,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
145,,Bon,,1,368 m²,111 m²,Équipée,8,21 m²,12 m²,18 m²,12 m²,,Oui,,2100 m²,Connecté,,Oui,Oui,,,,,B,Non communiqué,Non communiqué,Non communiqué,Mazout,680.000 €,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,À définir,,,,,3,Non,,Non,,,,45 m²,42 m²,1,,,,,,,,,Oui,155 kWh/m²,,,,,,,,,Oui,,,,,,,,,,1,Non,,,,Nord,Est,,,,,,,,,,,,,,,,,,
146,,Bon,,1,700 m²,39 m²,Équipée,10,24 m²,19 m²,12 m²,78 m²,,Oui,Non,33000 m²,Connecté,,Oui,33000 m²,,,Non,447 kWh/m²,F,20210630009274,Non communiqué,Non communiqué,Mazout,1.100.000 €,,Non,,"Chaussée de Bruxelles 2
1470 - Genappe",,À définir,,,,,,Oui,,Non,,,,20 m²,10 m²,4,,,,,,,,Sud,Oui,Oui,Non,Non,,,,,,,Oui,,,,,,,,,,1,Non,,,,,Sud,,,,,,,,,,,,,,,,,,
147,,Fraîchement rénové,4,20,,1280 m²,,,6,66 m²,18 m²,16 m²,3,,,,3723 m²,,,Oui,,,,,671 kWh/m²,G,20120902011904,166 kg CO₂/m²,Non communiqué,,,1.950.000 €,,Oui,"Avenue Capouillet 58 A
1410 - Waterloo",Après la signature de l’acte,,,,Oui,,,,Gaz,,,Oui,Hyper équipée,15 m²,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 m²,,,,,,,,,,45 m²,,,,,,,2,,,,,,
148,,Bon,,,152 m²,23 m²,Équipée,3,22 m²,13 m²,11 m²,Non,,Oui,Non,220 m²,Connecté,,Oui,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,287.500 €,,542 €,Non,"Chaussée de Bruxelles 2
1470 - Genappe",,,1 mars 2022 - 00:00,,,,2,Oui,,Non,,,,19 m²,,1,,,,,,,,,Oui,Non communiqué,,,,,,,,,Oui,,,,,,,,,,,,,,,Sud-ouest,Sud-ouest,,,,,,,,,,,,,,,,,,
149,,,2,,,170 m²,30 m²,,3,,,,1,1,,Non,513 m²,11 m,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Faire offre à partir de 300.000 €,2.483 €,Oui,"Chaussée de Bruxelles 23 (sur N5)
1472 - Vieux Genappe",Après la signature de l’acte,,,3713 - 650230,,,Oui,Non,Mazout,11 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
150,,Bon,,,250 m²,41 m²,Équipée,5,34 m²,33 m²,30 m²,14 m²,,Oui,,740 m²,Connecté,,Oui,Oui,,,,,E,20210614015315,Non communiqué,Non communiqué,Non,385.000 €,,Non,,"Chaussée de Bruxelles 2
1470 - Genappe",,À définir,,,,,,Non,,,,,,30 m²,13 m²,2,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,1,Non,,,,,393 kWh/m²,,,,,,,,,,,,,,,,,,
151,,,4,,,145 m²,26 m²,,3,16 m²,15 m²,10 m²,2,1,Oui,Non,1523 m²,,,,,,,,436 kWh/m²,F,20210904003054,109 kg CO₂/m²,99558 kWh/an,Non,,350.000 €,708 €,Non,"Rue des Saules, 31
1380 - Ohain",,,,102920,,,,,Mazout,,,,Équipée,,,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,15 m²,,,Oui,,,,,,,,,,,,,,,,,,
